date,calendarYear,period,revenue,grossProfit,netIncome,operatingIncome,eps,epsdiluted,researchAndDevelopmentExpenses,operatingExpenses,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,weightedAverageShsOutDil,Close,High,Low,Open,Volume,days_since_financial_update,price_change_pct,price_change,MA_5,MA_10,MA_20,MA_50,MA_200,RSI,returns,volatility_5d,volatility_10d,volatility_20d,PE_ratio,volume_change,volume_ma_5,momentum_5d,momentum_10d,momentum_20d,market_cap,price_to_sales
2022-10-20,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,268.1600036621094,278.3800048828125,266.3800048828125,272.7799987792969,17207100.0,294,-1.5493065368431536,-4.220001220703125,251.3000030517578,237.88999938964844,236.53100051879883,234.61680053710938,279.60120048522947,63.78386154024708,-0.015493065368431536,0.14753841052369823,0.19270822840481597,0.22079190141695365,23.217316334381763,-0.6314235958642228,25204060.0,0.15332678163314517,0.1172402253509881,0.13123813629970282,122112557187.62207,4.111832400615414
2022-10-21,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,289.57000732421875,290.75,265.67999267578125,268.95001220703125,24889100.0,295,7.9840406360848215,21.410003662109375,263.21400451660156,244.37200012207032,239.6890007019043,235.5542007446289,278.2114504241943,69.66298339052842,0.07984040636084822,0.14354756071852104,0.18265319606878275,0.2249457957139298,25.070996305127164,0.4464436192037009,27123200.0,0.25900003184442943,0.2884093763035318,0.27896295499543555,131862073375.24414,4.440122770368251
2022-10-24,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,282.45001220703125,290.489990234375,280.3599853515625,290.2300109863281,13326400.0,298,-2.458816499326033,-7.1199951171875,270.6840057373047,249.61900177001954,242.6080009460449,236.21720092773438,276.85725059509275,65.83546018209992,-0.02458816499326033,0.1578851517191605,0.18990075037961737,0.22698082698173747,24.454546511431275,-0.46456882731798255,25576920.0,0.15238680201313914,0.22815034983153182,0.26054359340623123,128619826958.74023,4.330948299100104
2022-10-25,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,291.0199890136719,297.5899963378906,285.54998779296875,286.95001220703125,15100700.0,299,3.0341569963746373,8.569976806640625,280.71600341796875,257.29200134277346,245.94100036621094,237.05540069580078,275.60705055236815,68.10687996850314,0.030341569963746373,0.14657681909722847,0.1610643781527451,0.22728505030377866,25.196535845339554,0.13314173370152482,23441720.0,0.20825370869472848,0.3580661632906237,0.2971117321357535,132522354437.13379,4.462356069926618
2022-10-26,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,298.6199951171875,305.6300048828125,288.0400085449219,290.0400085449219,15714100.0,300,2.6115065598324216,7.600006103515625,285.96400146484376,265.06700134277344,248.61200027465821,238.11400054931642,274.4009006500244,70.01103491688644,0.026115065598324216,0.09334220950556246,0.16117686257574024,0.21229152240054244,25.854545031791123,0.040620633480567214,17247480.0,0.0963359635949208,0.35201703137063967,0.21786296424881857,135983184416.5039,4.578890791415832
2022-10-27,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,296.94000244140625,305.2099914550781,294.7799987792969,298.3299865722656,14612600.0,301,-0.5625854608704128,-1.67999267578125,291.7200012207031,271.51000213623047,251.47350006103517,239.22980072021485,273.1814005279541,69.02991799467335,-0.005625854608704128,0.08918102782963092,0.16328614163200753,0.21017189802323005,25.709091120468074,-0.07009628295607129,16728580.0,0.10732397966238327,0.27710640168922285,0.23874679456269998,135218162791.74805,4.553130617554192
2022-10-28,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,295.7200012207031,301.19000244140625,292.2900085449219,297.70001220703125,9960500.0,302,-0.41085781998801973,-1.220001220703125,292.95,278.0820022583008,254.4875,240.24080078125,271.973900680542,68.28158409871182,-0.004108578199880197,0.05193424816768405,0.16174608478743094,0.2085811951594989,25.603463309151785,-0.3183622353311526,13742860.0,0.021238366339503267,0.28573913574218746,0.25603125277871475,134662608395.87402,4.534423724357701
2022-10-31,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,291.8800048828125,297.6199951171875,289.5,295.1300048828125,7505100.0,305,-1.2985243886242004,-3.839996337890625,294.83599853515625,282.76000213623047,257.129500579834,241.25520080566406,270.8373006439209,65.86142234436315,-0.012985243886242004,0.04461107281319941,0.1597373311134824,0.21008968801587927,25.27099609375,-0.24651372923046033,12578600.0,0.03338641270395559,0.1908608633797415,0.22105092486942035,132913981583.4961,4.4755431264133545
2022-11-01,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,286.75,299.70001220703125,286.4200134277344,296.1700134277344,6916400.0,306,-1.757573248250477,-5.1300048828125,293.98200073242185,287.3490020751953,259.4300003051758,242.45940093994142,269.6426006317139,62.6658868389,-0.01757573248250477,0.0382072278565458,0.1598068415715989,0.21201912010335242,24.826839826839826,-0.07843999413731995,10941740.0,-0.014672493900311667,0.1905256135238762,0.1911190224183259,130577921000.0,4.3968821777096005
2022-11-02,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,273.0,287.3299865722656,272.8399963378906,286.3999938964844,10367600.0,307,-4.7951176983435095,-13.75,288.8580017089844,287.41100158691404,261.24350051879884,243.42840087890625,268.45360069274903,54.96768036687751,-0.047951176983435095,0.03981012695086785,0.113728375448377,0.21834802442682683,23.636363636363633,0.49898791278699894,9872440.0,-0.08579464046650143,0.0022762137677994065,0.15321254140605567,124316556000.0,4.186046502230936
