,Predictions
2022-10-25,2782.3992589989066
2022-10-26,2346.8571637424047
2022-10-27,3067.703177571614
2022-10-28,2373.1451070452
2022-10-29,3020.2011220203217
2022-10-30,2907.410823114886
2022-10-31,2632.645555009533
2022-11-01,2992.0686127094586
2022-11-02,4391.781759812126
2022-11-03,2783.8706078074624
2022-11-04,4357.815498727405
2022-11-05,2595.809866569011
2022-11-06,4712.754779622396
2022-11-07,4363.341269354539
2022-11-08,2767.8229475649873
2022-11-09,2395.6897373093375
2022-11-10,2798.7148525275793
2022-11-11,2738.3012915190197
2022-11-12,2270.28231328125
2022-11-13,3095.244244392903
2022-11-14,2711.6356261612177
2022-11-15,4008.6939861653645
2022-11-16,3268.9267454833985
2022-11-17,3335.3112305257164
2022-11-18,2659.503851921735
2022-11-19,2357.5309698643277
2022-11-20,2907.2392421944755
2022-11-21,2656.6032562395367
2022-11-22,3247.0081820149744
2022-11-23,2939.2312691336506
2022-11-24,4446.701458007812
2022-11-25,4303.493279296875
2022-11-26,4299.6253330078125
2022-11-27,3278.2255439453124
2022-11-28,4784.80197265625
2022-11-29,3042.002696329753
2022-11-30,4443.248450776599
2022-12-01,2905.456000548578
2022-12-02,2727.108695466347
2022-12-03,2848.8402947897275
2022-12-04,2277.710965340169
2022-12-05,3872.468177734375
2022-12-06,3909.9791023972284
2022-12-07,4107.4924555664065
2022-12-08,2862.0693833007813
2022-12-09,2803.1505138231973
2022-12-10,2550.498318551199
2022-12-11,2681.5887107453023
2022-12-12,4517.089211507162
2022-12-13,2700.5664185190344
2022-12-14,2425.703444301166
2022-12-15,2977.235979731678
2022-12-16,2675.7090392039468
2022-12-17,4122.447469498698
2022-12-18,2270.239060351563
2022-12-19,3801.7017197265627
2022-12-20,2882.362755102345
2022-12-21,4371.34639412435
2022-12-22,4224.264721691312
2022-12-23,3090.281397591146
2022-12-24,2574.0417964553108
2022-12-25,2385.8237400396433
2022-12-26,4394.960816917783
2022-12-27,2671.351118840099
2022-12-28,2837.894239015997
2022-12-29,4176.675864843751
2022-12-30,2891.9771798189945
2022-12-31,2833.654113114614
2023-01-01,2869.1616910997177
2023-01-02,2760.236443268694
