,Actual_Close,Predicted_Close
2021-06-24,677.1799926757812,
2021-06-25,690.719970703125,
2021-06-28,689.3699951171875,
2021-06-29,689.77001953125,
2021-06-30,679.0,
2021-07-01,690.5399780273438,
2021-07-02,689.8800048828125,
2021-07-06,690.7000122070312,
2021-07-07,708.3599853515625,
2021-07-08,692.969970703125,
2021-07-09,706.2999877929688,
2021-07-12,713.52001953125,
2021-07-13,708.3300170898438,
2021-07-14,680.0900268554688,
2021-07-15,667.739990234375,
2021-07-16,661.6400146484375,
2021-07-19,651.8800048828125,
2021-07-20,659.780029296875,
2021-07-21,673.6099853515625,
2021-07-22,675.0399780273438,
2021-07-23,685.0,
2021-07-26,677.7100219726562,
2021-07-27,673.0700073242188,
2021-07-28,673.1199951171875,
2021-07-29,669.760009765625,
2021-07-30,664.0800170898438,
2021-08-02,657.77001953125,
2021-08-03,660.97998046875,
2021-08-04,676.0800170898438,
2021-08-05,679.97998046875,
2021-08-06,674.989990234375,
2021-08-09,688.8400268554688,
2021-08-10,719.7000122070312,
2021-08-11,733.4400024414062,
2021-08-12,738.52001953125,
2021-08-13,722.9400024414062,
2021-08-16,714.97998046875,
2021-08-17,688.030029296875,
2021-08-18,683.719970703125,
2021-08-19,673.3400268554688,
2021-08-20,690.8400268554688,
2021-08-23,693.739990234375,
2021-08-24,701.2999877929688,
2021-08-25,708.260009765625,
2021-08-26,709.5,
2021-08-27,706.5399780273438,
2021-08-30,716.75,
2021-08-31,700.6699829101562,
2021-09-01,704.6900024414062,
2021-09-02,672.0,
2021-09-03,678.6300048828125,
2021-09-07,664.260009765625,
2021-09-08,672.6500244140625,
2021-09-09,725.0,
2021-09-10,694.469970703125,
2021-09-13,700.9500122070312,
2021-09-14,690.9400024414062,
2021-09-15,684.989990234375,
2021-09-16,685.4400024414062,
2021-09-17,672.1500244140625,
2021-09-20,667.25,
2021-09-21,673.6599731445312,
2021-09-22,685.3699951171875,
2021-09-23,686.2100219726562,
2021-09-24,686.6799926757812,
2021-09-27,704.52001953125,
2021-09-28,683.760009765625,
2021-09-29,695.02001953125,
2021-09-30,666.9099731445312,
2021-10-01,646.4500122070312,
2021-10-04,631.7000122070312,
2021-10-05,635.5,
2021-10-06,630.010009765625,
2021-10-07,652.47998046875,
2021-10-08,646.8099975585938,
2021-10-11,638.0599975585938,
2021-10-12,645.5900268554688,
2021-10-13,638.6199951171875,
2021-10-14,653.530029296875,
2021-10-15,659.0700073242188,
2021-10-18,689.6300048828125,
2021-10-19,674.97998046875,
2021-10-20,678.469970703125,
2021-10-21,672.4099731445312,
2021-10-22,667.5700073242188,
2021-10-25,669.280029296875,
2021-10-26,659.3200073242188,
2021-10-27,653.52001953125,
2021-10-28,659.469970703125,
2021-10-29,659.6300048828125,
2021-11-01,669.1500244140625,
2021-11-02,659.4299926757812,
2021-11-03,676.5800170898438,
2021-11-04,662.5700073242188,
2021-11-05,660.0900268554688,
2021-11-08,657.989990234375,
2021-11-09,652.27001953125,
2021-11-10,636.739990234375,
2021-11-11,635.4299926757812,
2021-11-12,635.6599731445312,
2021-11-15,649.2899780273438,
2021-11-16,651.0,
2021-11-17,624.010009765625,
2021-11-18,643.0499877929688,
2021-11-19,644.8900146484375,
2021-11-22,627.1099853515625,
2021-11-23,604.4500122070312,
2021-11-24,605.1799926757812,
2021-11-26,599.3400268554688,
2021-11-29,596.780029296875,
2021-11-30,583.1799926757812,
2021-12-01,564.8599853515625,
2021-12-02,560.75,
2021-12-03,537.1400146484375,
2021-12-06,562.52001953125,
2021-12-07,576.3400268554688,
2021-12-08,576.9600219726562,
2021-12-09,608.510009765625,
2021-12-10,603.0,
2021-12-13,567.2000122070312,
2021-12-14,568.2000122070312,
2021-12-15,568.030029296875,
2021-12-16,546.489990234375,
2021-12-17,552.8200073242188,
2021-12-20,527.4199829101562,
2021-12-21,548.3400268554688,
2021-12-22,544.5700073242188,
2021-12-23,546.0900268554688,
2021-12-27,541.780029296875,
2021-12-28,528.989990234375,
2021-12-29,533.6500244140625,
2021-12-30,536.72998046875,
2021-12-31,535.9400024414062,
2022-01-03,538.3200073242188,
2022-01-04,530.0900268554688,
2022-01-05,505.9200134277344,
2022-01-06,517.9400024414062,
2022-01-07,494.7999877929688,
2022-01-10,479.6000061035156,
2022-01-11,482.0199890136719,
2022-01-12,473.0199890136719,
2022-01-13,456.2200012207031,
2022-01-14,447.4599914550781,
2022-01-18,426.2699890136719,
2022-01-19,416.0499877929688,
2022-01-20,404.239990234375,
2022-01-21,391.3999938964844,
2022-01-24,407.1600036621094,
2022-01-25,398.55999755859375,
2022-01-26,378.6600036621094,
2022-01-27,366.9100036621094,
2022-01-28,391.9200134277344,
2022-01-31,402.8200073242188,
2022-02-01,412.2799987792969,
